,raster_path,imagery_path,binary_path,place,tileID,suffix,img_size,res,pad,lat,long,img_src,lidar_src,band_means,band_stds,ndvi_mean,ndvi_std,ndvi_NaN,height_mean,height_std,height_NaN
4,/datadrive/UTC/Santa_Monica/combiTif/Santa_Monica_naip1_A_1m_p0_tile00004.tif,/datadrive/UTC/Santa_Monica/NAIP/imagery/none/Santa_Monica_naip1_A_1m_p0_tile00004.tif,/datadrive/UTC/Santa_Monica/fullMasks/binary/Santa_Monica_naip1_A_1m_p0_bi4_tile00004.tif,Santa_Monica,4,A,256,1,0,359968.0,3766272.0,naip1,USGS_LPC_CA_LosAngeles_2016_LAS_2018,[82.99894714 83.22972107 83.44700623 78.47140503],[74.19453891 73.54065359 72.84861966 69.55549112],-0.02727981051466135,0.14489519693169672,24177,5.150508391758144,9.644905518035584,0
8,/datadrive/UTC/Santa_Monica/combiTif/Santa_Monica_naip1_A_1m_p0_tile00008.tif,/datadrive/UTC/Santa_Monica/NAIP/imagery/none/Santa_Monica_naip1_A_1m_p0_tile00008.tif,/datadrive/UTC/Santa_Monica/fullMasks/binary/Santa_Monica_naip1_A_1m_p0_bi4_tile00008.tif,Santa_Monica,8,A,256,1,0,360224.0,3766016.0,naip1,USGS_LPC_CA_LosAngeles_2016_LAS_2018,[125.84223938 125.73770142 124.36769104 127.8609314 ],[47.87224583 43.81667163 41.34818983 40.42890936],0.01729389111582691,0.16944313599547425,0,2.520979652684875,4.365265221846908,0
9,/datadrive/UTC/Santa_Monica/combiTif/Santa_Monica_naip1_A_1m_p0_tile00009.tif,/datadrive/UTC/Santa_Monica/NAIP/imagery/none/Santa_Monica_naip1_A_1m_p0_tile00009.tif,/datadrive/UTC/Santa_Monica/fullMasks/binary/Santa_Monica_naip1_A_1m_p0_bi4_tile00009.tif,Santa_Monica,9,A,256,1,0,360224.0,3766272.0,naip1,USGS_LPC_CA_LosAngeles_2016_LAS_2018,[110.57698059 112.58351135 111.36340332 113.40357971],[46.74091559 42.6320385  40.42187673 45.65108361],0.011378654277034885,0.16632538342836112,0,4.10216720958448,6.070831420487296,0
10,/datadrive/UTC/Santa_Monica/combiTif/Santa_Monica_naip1_A_1m_p0_tile00010.tif,/datadrive/UTC/Santa_Monica/NAIP/imagery/none/Santa_Monica_naip1_A_1m_p0_tile00010.tif,/datadrive/UTC/Santa_Monica/fullMasks/binary/Santa_Monica_naip1_A_1m_p0_bi4_tile00010.tif,Santa_Monica,10,A,256,1,0,360224.0,3766528.0,naip1,USGS_LPC_CA_LosAngeles_2016_LAS_2018,[89.59217834 92.11138916 90.26348877 97.510849  ],[59.4810588  57.73225597 56.54043996 60.72621427],0.04459609097482947,0.18439454733086616,11536,4.551287248429059,4.396834922018644,0
14,/datadrive/UTC/Santa_Monica/combiTif/Santa_Monica_naip1_A_1m_p0_tile00014.tif,/datadrive/UTC/Santa_Monica/NAIP/imagery/none/Santa_Monica_naip1_A_1m_p0_tile00014.tif,/datadrive/UTC/Santa_Monica/fullMasks/binary/Santa_Monica_naip1_A_1m_p0_bi4_tile00014.tif,Santa_Monica,14,A,256,1,0,360480.0,3765760.0,naip1,USGS_LPC_CA_LosAngeles_2016_LAS_2018,[135.64096069 134.40753174 130.32171631 134.97454834],[47.00804293 42.2333037  39.72003329 40.50395834],0.003236694945307761,0.15839915758558498,0,1.9136240278844967,3.5163500779454906,0
15,/datadrive/UTC/Santa_Monica/combiTif/Santa_Monica_naip1_A_1m_p0_tile00015.tif,/datadrive/UTC/Santa_Monica/NAIP/imagery/none/Santa_Monica_naip1_A_1m_p0_tile00015.tif,/datadrive/UTC/Santa_Monica/fullMasks/binary/Santa_Monica_naip1_A_1m_p0_bi4_tile00015.tif,Santa_Monica,15,A,256,1,0,360480.0,3766016.0,naip1,USGS_LPC_CA_LosAngeles_2016_LAS_2018,[102.46435547 106.44499207 105.50819397 115.52165222],[44.78840034 40.97003748 39.6996136  48.01223397],0.054287717600178816,0.1907585327610732,0,4.7116614317488175,6.6997238906743775,0
16,/datadrive/UTC/Santa_Monica/combiTif/Santa_Monica_naip1_A_1m_p0_tile00016.tif,/datadrive/UTC/Santa_Monica/NAIP/imagery/none/Santa_Monica_naip1_A_1m_p0_tile00016.tif,/datadrive/UTC/Santa_Monica/fullMasks/binary/Santa_Monica_naip1_A_1m_p0_bi4_tile00016.tif,Santa_Monica,16,A,256,1,0,360480.0,3766272.0,naip1,USGS_LPC_CA_LosAngeles_2016_LAS_2018,[103.76478577 105.92985535 101.99935913 112.92173767],[40.55770365 35.33140407 33.1389513  42.28861825],0.039528128727987166,0.17644027070625973,0,3.0736324683525447,3.3202175788983013,0
17,/datadrive/UTC/Santa_Monica/combiTif/Santa_Monica_naip1_A_1m_p0_tile00017.tif,/datadrive/UTC/Santa_Monica/NAIP/imagery/none/Santa_Monica_naip1_A_1m_p0_tile00017.tif,/datadrive/UTC/Santa_Monica/fullMasks/binary/Santa_Monica_naip1_A_1m_p0_bi4_tile00017.tif,Santa_Monica,17,A,256,1,0,360480.0,3766528.0,naip1,USGS_LPC_CA_LosAngeles_2016_LAS_2018,[108.79014587 111.47793579 108.99613953 112.57221985],[44.64457703 40.19363914 39.39109798 43.15441638],0.017829611715686866,0.16842127513331914,0,3.7106107219271065,3.8446342586444593,0
18,/datadrive/UTC/Santa_Monica/combiTif/Santa_Monica_naip1_A_1m_p0_tile00018.tif,/datadrive/UTC/Santa_Monica/NAIP/imagery/none/Santa_Monica_naip1_A_1m_p0_tile00018.tif,/datadrive/UTC/Santa_Monica/fullMasks/binary/Santa_Monica_naip1_A_1m_p0_bi4_tile00018.tif,Santa_Monica,18,A,256,1,0,360480.0,3766784.0,naip1,USGS_LPC_CA_LosAngeles_2016_LAS_2018,[ 99.37184143 102.02441406  99.48648071 102.71028137],[63.64391876 61.85037672 61.59081752 62.14068542],0.02064796492845796,0.16904777022576165,10655,4.046374322225095,3.868614884890611,0
23,/datadrive/UTC/Santa_Monica/combiTif/Santa_Monica_naip1_A_1m_p0_tile00023.tif,/datadrive/UTC/Santa_Monica/NAIP/imagery/none/Santa_Monica_naip1_A_1m_p0_tile00023.tif,/datadrive/UTC/Santa_Monica/fullMasks/binary/Santa_Monica_naip1_A_1m_p0_bi4_tile00023.tif,Santa_Monica,23,A,256,1,0,360736.0,3765760.0,naip1,USGS_LPC_CA_LosAngeles_2016_LAS_2018,[114.421875   116.40557861 115.64672852 117.89352417],[46.96157955 43.64786902 42.71671022 44.60143883],0.016929554881226494,0.16438457921387772,0,4.668373092225576,5.022078020315559,0
